,Total_Transmission_counts,Patient_transmission_counts,hcw_transmission_count
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,1.0,0.0,1.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,1.0,1.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,1.0,1.0,0.0
64,1.0,1.0,0.0
65,0.0,0.0,0.0
66,3.0,0.0,3.0
67,1.0,1.0,0.0
68,2.0,1.0,1.0
69,1.0,1.0,0.0
70,2.0,0.0,2.0
71,3.0,2.0,1.0
72,3.0,1.0,2.0
73,3.0,1.0,2.0
74,3.0,0.0,3.0
75,2.0,1.0,1.0
76,7.0,3.0,4.0
77,2.0,1.0,1.0
78,9.0,4.0,5.0
79,6.0,2.0,4.0
80,9.0,3.0,6.0
81,7.0,3.0,4.0
82,2.0,2.0,0.0
83,9.0,5.0,4.0
84,11.0,5.0,6.0
85,9.0,4.0,5.0
86,14.0,4.0,10.0
87,7.0,7.0,0.0
88,14.0,6.0,8.0
89,16.0,9.0,7.0
90,15.0,4.0,11.0
91,15.0,5.0,10.0
92,12.0,7.0,5.0
93,12.0,4.0,8.0
94,11.0,5.0,6.0
95,8.0,4.0,4.0
96,15.0,9.0,6.0
97,8.0,4.0,4.0
98,12.0,8.0,4.0
99,10.0,3.0,7.0
100,12.0,7.0,5.0
101,15.0,10.0,5.0
102,13.0,5.0,8.0
103,13.0,7.0,6.0
104,7.0,3.0,4.0
105,10.0,8.0,2.0
106,16.0,8.0,8.0
107,7.0,5.0,2.0
108,12.0,7.0,5.0
109,8.0,4.0,4.0
110,6.0,2.0,4.0
111,5.0,2.0,3.0
112,10.0,7.0,3.0
113,9.0,3.0,6.0
114,8.0,4.0,4.0
115,7.0,5.0,2.0
116,3.0,2.0,1.0
117,4.0,2.0,2.0
118,2.0,0.0,2.0
119,4.0,2.0,2.0
120,3.0,2.0,1.0
121,2.0,0.0,2.0
122,1.0,0.0,1.0
123,0.0,0.0,0.0
124,2.0,1.0,1.0
125,4.0,1.0,3.0
126,2.0,1.0,1.0
127,7.0,4.0,3.0
128,4.0,1.0,3.0
129,1.0,1.0,0.0
130,6.0,2.0,4.0
131,2.0,1.0,1.0
132,2.0,2.0,0.0
133,5.0,2.0,3.0
134,3.0,2.0,1.0
135,5.0,2.0,3.0
136,5.0,3.0,2.0
137,4.0,4.0,0.0
138,5.0,4.0,1.0
139,5.0,2.0,3.0
140,6.0,1.0,5.0
141,7.0,4.0,3.0
142,4.0,2.0,2.0
143,4.0,4.0,0.0
144,3.0,3.0,0.0
145,3.0,1.0,2.0
146,2.0,1.0,1.0
147,1.0,0.0,1.0
148,1.0,1.0,0.0
149,0.0,0.0,0.0
150,2.0,2.0,0.0
151,1.0,0.0,1.0
152,1.0,1.0,0.0
153,1.0,1.0,0.0
154,2.0,0.0,2.0
155,1.0,1.0,0.0
156,0.0,0.0,0.0
157,1.0,1.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,3.0,0.0,3.0
161,2.0,1.0,1.0
162,5.0,3.0,2.0
163,2.0,2.0,0.0
164,5.0,1.0,4.0
165,2.0,1.0,1.0
166,6.0,3.0,3.0
167,2.0,2.0,0.0
168,1.0,1.0,0.0
169,2.0,0.0,2.0
170,2.0,1.0,1.0
171,1.0,0.0,1.0
172,2.0,2.0,0.0
173,1.0,1.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,2.0,2.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,1.0,0.0,1.0
204,0.0,0.0,0.0
205,1.0,1.0,0.0
