,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,3.0
72,4.0
73,5.0
74,4.0
75,4.0
76,4.0
77,4.0
78,5.0
79,8.0
80,7.0
81,9.0
82,13.0
83,14.0
84,15.0
85,18.0
86,18.0
87,19.0
88,19.0
89,20.0
90,19.0
91,19.0
92,22.0
93,25.0
94,27.0
95,27.0
96,28.0
97,27.0
98,28.0
99,26.0
100,28.0
101,28.0
102,26.0
103,28.0
104,22.0
105,24.0
106,19.0
107,17.0
108,17.0
109,16.0
110,14.0
111,14.0
112,15.0
113,14.0
114,12.0
115,13.0
116,12.0
117,11.0
118,10.0
119,8.0
120,5.0
121,4.0
122,3.0
123,3.0
124,3.0
125,1.0
126,1.0
127,1.0
128,1.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,1.0
135,1.0
136,3.0
137,3.0
138,3.0
139,3.0
140,4.0
141,4.0
142,4.0
143,4.0
144,4.0
145,4.0
146,4.0
147,4.0
148,3.0
149,3.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,1.0
169,1.0
170,2.0
171,3.0
172,3.0
173,3.0
174,3.0
175,3.0
176,3.0
177,3.0
178,3.0
179,3.0
180,3.0
181,3.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,3.0
214,4.0
215,5.0
216,5.0
217,5.0
218,6.0
219,7.0
220,7.0
221,7.0
222,7.0
223,6.0
224,6.0
225,6.0
226,5.0
227,5.0
228,4.0
229,3.0
230,3.0
231,3.0
232,2.0
233,1.0
234,2.0
235,2.0
236,2.0
237,2.0
238,1.0
