,Total_Transmission_counts,Patient_transmission_counts,hcw_transmission_count
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,1.0,0.0,1.0
62,2.0,2.0,0.0
63,0.0,0.0,0.0
64,2.0,0.0,2.0
65,1.0,1.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,1.0,1.0,0.0
72,3.0,3.0,0.0
73,2.0,2.0,0.0
74,7.0,3.0,4.0
75,4.0,1.0,3.0
76,11.0,8.0,3.0
77,8.0,3.0,5.0
78,10.0,1.0,9.0
79,14.0,3.0,11.0
80,10.0,6.0,4.0
81,8.0,5.0,3.0
82,20.0,5.0,15.0
83,12.0,8.0,4.0
84,21.0,10.0,11.0
85,19.0,7.0,12.0
86,22.0,10.0,12.0
87,30.0,10.0,20.0
88,31.0,14.0,17.0
89,33.0,13.0,20.0
90,34.0,14.0,20.0
91,29.0,16.0,13.0
92,24.0,9.0,15.0
93,26.0,9.0,17.0
94,19.0,8.0,11.0
95,25.0,11.0,14.0
96,24.0,10.0,14.0
97,21.0,10.0,11.0
98,26.0,14.0,12.0
99,22.0,10.0,12.0
100,21.0,10.0,11.0
101,21.0,13.0,8.0
102,22.0,7.0,15.0
103,14.0,7.0,7.0
104,22.0,12.0,10.0
105,12.0,7.0,5.0
106,15.0,8.0,7.0
107,16.0,8.0,8.0
108,10.0,2.0,8.0
109,12.0,8.0,4.0
110,13.0,6.0,7.0
111,11.0,4.0,7.0
112,5.0,2.0,3.0
113,5.0,2.0,3.0
114,8.0,4.0,4.0
115,5.0,4.0,1.0
116,5.0,1.0,4.0
117,2.0,1.0,1.0
118,2.0,1.0,1.0
119,1.0,1.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,1.0,1.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,1.0,1.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,1.0,1.0,0.0
194,1.0,0.0,1.0
195,1.0,0.0,1.0
196,1.0,0.0,1.0
197,1.0,1.0,0.0
198,1.0,1.0,0.0
199,0.0,0.0,0.0
200,1.0,1.0,0.0
201,1.0,0.0,1.0
202,0.0,0.0,0.0
203,2.0,1.0,1.0
204,0.0,0.0,0.0
205,1.0,1.0,0.0
