,peak transmission
0,2.0
1,1.0
2,2.0
3,2.0
4,1.0
5,1.0
6,1.0
7,1.0
8,2.0
9,1.0
10,3.0
11,2.0
12,2.0
13,1.0
14,1.0
15,2.0
16,3.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,3.0
24,1.0
25,2.0
26,2.0
27,1.0
28,2.0
29,1.0
30,1.0
31,1.0
32,2.0
33,3.0
34,2.0
35,2.0
36,2.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,2.0
43,2.0
44,2.0
45,1.0
46,1.0
47,2.0
48,1.0
49,2.0
50,1.0
51,1.0
52,1.0
53,2.0
54,2.0
55,1.0
56,2.0
57,2.0
58,2.0
59,1.0
60,1.0
61,2.0
62,2.0
63,2.0
64,2.0
65,1.0
66,1.0
67,1.0
68,2.0
69,1.0
70,1.0
71,3.0
72,1.0
73,1.0
74,2.0
75,1.0
76,1.0
77,1.0
78,2.0
79,1.0
80,2.0
81,1.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,1.0
88,1.0
89,1.0
90,2.0
91,2.0
92,1.0
93,1.0
94,1.0
95,1.0
96,2.0
97,2.0
98,1.0
99,2.0
