,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,1.0
64,1.0
65,1.0
66,1.0
67,2.0
68,2.0
69,3.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,4.0
76,4.0
77,3.0
78,4.0
79,11.0
80,13.0
81,17.0
82,20.0
83,21.0
84,22.0
85,24.0
86,25.0
87,34.0
88,31.0
89,31.0
90,29.0
91,30.0
92,33.0
93,32.0
94,35.0
95,35.0
96,32.0
97,26.0
98,24.0
99,19.0
100,20.0
101,20.0
102,17.0
103,17.0
104,18.0
105,13.0
106,14.0
107,15.0
108,17.0
109,16.0
110,17.0
111,14.0
112,12.0
113,13.0
114,14.0
115,14.0
116,10.0
117,10.0
118,13.0
119,18.0
120,19.0
121,18.0
122,23.0
123,25.0
124,23.0
125,23.0
126,24.0
127,24.0
128,23.0
129,20.0
130,19.0
131,18.0
132,13.0
133,12.0
134,10.0
135,10.0
136,4.0
137,4.0
138,1.0
139,2.0
140,4.0
141,4.0
142,6.0
143,7.0
144,13.0
145,15.0
146,16.0
147,17.0
148,18.0
149,19.0
150,18.0
151,14.0
152,14.0
153,11.0
154,7.0
155,5.0
156,5.0
157,2.0
158,2.0
159,2.0
160,2.0
161,2.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,2.0
178,3.0
179,3.0
180,4.0
181,7.0
182,9.0
183,9.0
184,9.0
185,9.0
186,10.0
187,10.0
188,11.0
189,12.0
190,10.0
191,9.0
192,10.0
193,11.0
194,12.0
195,12.0
196,10.0
197,10.0
198,8.0
199,9.0
200,10.0
201,8.0
202,8.0
203,7.0
204,7.0
205,6.0
206,6.0
207,7.0
208,6.0
209,6.0
210,6.0
211,5.0
212,5.0
213,5.0
214,6.0
215,6.0
216,4.0
217,4.0
218,4.0
219,6.0
220,5.0
221,4.0
222,3.0
223,3.0
224,4.0
225,4.0
226,5.0
227,6.0
228,6.0
229,6.0
230,6.0
231,7.0
232,7.0
233,6.0
234,3.0
235,3.0
236,3.0
237,3.0
238,4.0
