,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,1.0
69,4.0
70,4.0
71,5.0
72,7.0
73,8.0
74,9.0
75,9.0
76,10.0
77,11.0
78,12.0
79,12.0
80,12.0
81,12.0
82,12.0
83,12.0
84,14.0
85,14.0
86,15.0
87,17.0
88,18.0
89,19.0
90,20.0
91,21.0
92,20.0
93,22.0
94,22.0
95,24.0
96,23.0
97,20.0
98,18.0
99,18.0
100,21.0
101,20.0
102,19.0
103,19.0
104,18.0
105,16.0
106,15.0
107,14.0
108,14.0
109,16.0
110,17.0
111,16.0
112,14.0
113,18.0
114,18.0
115,15.0
116,15.0
117,15.0
118,15.0
119,14.0
120,15.0
121,14.0
122,13.0
123,13.0
124,10.0
125,10.0
126,9.0
127,6.0
128,7.0
129,5.0
130,3.0
131,3.0
132,3.0
133,3.0
134,2.0
135,2.0
136,2.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,1.0
148,1.0
149,1.0
150,1.0
151,2.0
152,2.0
153,3.0
154,3.0
155,3.0
156,3.0
157,3.0
158,2.0
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
166,2.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,3.0
215,4.0
216,5.0
217,5.0
218,5.0
219,6.0
220,6.0
221,6.0
222,7.0
223,9.0
224,9.0
225,10.0
226,9.0
227,7.0
228,6.0
229,6.0
230,6.0
231,5.0
232,4.0
233,4.0
234,2.0
235,2.0
236,2.0
237,2.0
238,1.0
