,Total_Transmission_counts,Patient_transmission_counts,hcw_transmission_count
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,1.0,1.0,0.0
64,2.0,2.0,0.0
65,3.0,0.0,3.0
66,1.0,0.0,1.0
67,5.0,3.0,2.0
68,4.0,1.0,3.0
69,6.0,2.0,4.0
70,3.0,2.0,1.0
71,4.0,3.0,1.0
72,5.0,2.0,3.0
73,4.0,3.0,1.0
74,3.0,2.0,1.0
75,3.0,3.0,0.0
76,5.0,2.0,3.0
77,4.0,2.0,2.0
78,7.0,3.0,4.0
79,4.0,2.0,2.0
80,10.0,6.0,4.0
81,14.0,4.0,10.0
82,10.0,3.0,7.0
83,15.0,6.0,9.0
84,13.0,5.0,8.0
85,17.0,8.0,9.0
86,21.0,11.0,10.0
87,16.0,8.0,8.0
88,19.0,9.0,10.0
89,20.0,11.0,9.0
90,15.0,2.0,13.0
91,21.0,10.0,11.0
92,13.0,8.0,5.0
93,22.0,16.0,6.0
94,15.0,3.0,12.0
95,16.0,10.0,6.0
96,16.0,4.0,12.0
97,17.0,10.0,7.0
98,11.0,5.0,6.0
99,15.0,6.0,9.0
100,16.0,6.0,10.0
101,15.0,7.0,8.0
102,14.0,7.0,7.0
103,12.0,9.0,3.0
104,11.0,7.0,4.0
105,9.0,4.0,5.0
106,7.0,1.0,6.0
107,5.0,3.0,2.0
108,10.0,5.0,5.0
109,2.0,1.0,1.0
110,6.0,2.0,4.0
111,7.0,5.0,2.0
112,2.0,2.0,0.0
113,4.0,1.0,3.0
114,3.0,1.0,2.0
115,3.0,0.0,3.0
116,8.0,5.0,3.0
117,6.0,5.0,1.0
118,6.0,2.0,4.0
119,2.0,2.0,0.0
120,2.0,1.0,1.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,2.0,2.0,0.0
125,2.0,1.0,1.0
126,0.0,0.0,0.0
127,2.0,0.0,2.0
128,1.0,1.0,0.0
129,2.0,2.0,0.0
130,0.0,0.0,0.0
131,2.0,1.0,1.0
132,1.0,0.0,1.0
133,0.0,0.0,0.0
134,1.0,0.0,1.0
135,2.0,2.0,0.0
136,0.0,0.0,0.0
137,1.0,0.0,1.0
138,1.0,0.0,1.0
139,2.0,0.0,2.0
140,0.0,0.0,0.0
141,2.0,2.0,0.0
142,1.0,1.0,0.0
143,0.0,0.0,0.0
144,1.0,0.0,1.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,1.0,0.0,1.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,1.0,1.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,2.0,1.0,1.0
154,1.0,1.0,0.0
155,1.0,1.0,0.0
156,0.0,0.0,0.0
157,1.0,1.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,1.0,1.0,0.0
190,1.0,0.0,1.0
191,0.0,0.0,0.0
192,3.0,2.0,1.0
193,1.0,0.0,1.0
194,1.0,0.0,1.0
195,3.0,0.0,3.0
196,1.0,1.0,0.0
197,2.0,2.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,1.0,0.0,1.0
201,0.0,0.0,0.0
202,1.0,1.0,0.0
203,0.0,0.0,0.0
204,1.0,0.0,1.0
205,0.0,0.0,0.0
