,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,1.0
74,2.0
75,4.0
76,6.0
77,8.0
78,9.0
79,13.0
80,19.0
81,22.0
82,26.0
83,38.0
84,48.0
85,56.0
86,65.0
87,71.0
88,77.0
89,81.0
90,86.0
91,98.0
92,96.0
93,99.0
94,101.0
95,96.0
96,100.0
97,94.0
98,90.0
99,84.0
100,87.0
101,79.0
102,74.0
103,75.0
104,67.0
105,63.0
106,59.0
107,56.0
108,55.0
109,54.0
110,50.0
111,45.0
112,46.0
113,42.0
114,40.0
115,39.0
116,34.0
117,34.0
118,31.0
119,27.0
120,23.0
121,23.0
122,20.0
123,22.0
124,21.0
125,22.0
126,18.0
127,18.0
128,18.0
129,22.0
130,26.0
131,26.0
132,25.0
133,25.0
134,25.0
135,28.0
136,26.0
137,24.0
138,23.0
139,20.0
140,20.0
141,17.0
142,15.0
143,13.0
144,10.0
145,7.0
146,6.0
147,5.0
148,4.0
149,4.0
150,4.0
151,3.0
152,3.0
153,3.0
154,2.0
155,1.0
156,1.0
157,1.0
158,1.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,2.0
195,5.0
196,6.0
197,7.0
198,10.0
199,12.0
200,12.0
201,13.0
202,13.0
203,13.0
204,13.0
205,14.0
206,13.0
207,13.0
208,16.0
209,16.0
210,14.0
211,16.0
212,16.0
213,17.0
214,18.0
215,18.0
216,18.0
217,18.0
218,17.0
219,18.0
220,16.0
221,16.0
222,16.0
223,17.0
224,16.0
225,15.0
226,15.0
227,11.0
228,10.0
229,9.0
230,8.0
231,8.0
232,7.0
233,7.0
234,6.0
235,6.0
236,4.0
237,3.0
238,3.0
